FFFF,0000
FFFF,0001
FFFF,0005
FFFF,0002
FFFF,0003
FFFF,0004
FFFF,0006
FFFF,0007
FFFF,0008
FFFF,0009
FFFF,0010
FFFF,0011
FFFF,0012
FFFF,0013
FFFF,0014
FFFF,0015
FFFF,0016
FFFF,0017
FFFF,0018
FFFF,0019
FFFF,0020
FFFF,0021
FFFF,0022
FFFF,0023
FFFF,0024
FFFF,0025
FFFF,0026
FFFF,0027
FFFF,0028
FFFF,0029
FFFF,0030
FFFF,0031
FFFF,0032
FFFF,0033
FFFF,0034
FFFF,0035
FFFF,0036
FFFF,0037
FFFF,0038
FFFF,0039
FFFF,0040
FFFF,0041
FFFF,0042
FFFF,0043
FFFF,0044
FFFF,0045
FFFF,0046
FFFF,0047
FFFF,0048
FFFF,0049
FFFF,0050
FFFF,0051
FFFF,0052
FFFF,0053
FFFF,0092
FFFF,0093
FFFF,0094
FFFF,0095
FFFF,0096
FFFF,0097
FFFF,0099
FFFF,0100
FFFF,0101
FFFF,0102
FFFF,0103
FFFF,0104
4000,0000
9000,0000
4003,0047
4409,0005
440A,0008
9000,0001
9001,0001
4003,0048
4007,0060
4409,0006
440A,0009
4B45,0006
9000,0002
9001,0002
4003,0049
4007,0061
4409,0007
440A,0010
4B45,0007
9000,0003
4003,0050
4409,0008
440A,0011
9000,0004
9001,0003
4003,0051
4007,0062
4409,0009
440A,0012
4B45,0008
9000,0005
9001,0004
4003,0052
4007,0063
4409,0010
440A,0013
4B45,0009
9000,0006
4003,0053
4409,0011
440A,0014
9000,0007
4003,0054
9000,0008
9001,0008
4003,0055
4007,0028
9000,0009
9001,0009
4003,0056
4007,0029
9000,0010
9001,0010
4003,0057
4007,0030
9000,0011
4003,0058
9000,0012
9001,0012
4003,0059
4007,0032
9000,0013
4003,0060
9000,0014
9001,0014
9002,0013
9003,0014
9004,0014
9009,0007
4003,0061
4004,0066
4007,0034
4320,0034
4B04,0012
4B15,0032
4B23,0032
4B29,0034
4B3F,0054
9000,0015
9001,0015
9002,0014
9003,0015
9004,0015
9009,0008
4003,0062
4004,0067
4007,0035
4320,0035
4B04,0013
4B15,0033
4B23,0033
4B29,0035
4B3F,0055
9000,0016
9001,0016
9002,0015
9003,0016
9004,0016
9005,0033
9009,0009
8002,0002
420D,0006
9000,0017
9001,0017
9002,0016
9003,0017
9004,0017
9005,0010
9008,0007
9009,0010
8002,0003
420D,0007
9000,0018
9001,0018
9002,0017
9003,0018
9004,0018
9005,0009
9008,0006
9009,0011
9000,0019
9001,0019
9002,0018
9003,0019
9004,0019
9009,0012
9000,0020
9001,0020
9002,0019
9003,0020
9004,0020
9009,0013
8002,0105
9000,0021
9001,0021
9002,0020
9003,0021
9004,0021
9009,0014
9000,0022
9001,0022
9002,0021
9003,0022
9004,0022
9009,0015
8002,0087
4B10,0013
9000,0023
4003,0033
9000,0024
9001,0024
4003,0034
9000,0025
9001,0025
4003,0035
9000,0026
9001,0026
4003,0036
9000,0027
4003,0037
9000,0028
9001,0027
4003,0038
9000,0029
4003,0039
9000,0030
4003,0024
9000,0031
9001,0031
4003,0025
4007,0044
9000,0032
9001,0032
4003,0026
4007,0045
9000,0033
9001,0033
4003,0027
4007,0046
9000,0034
4003,0028
9000,0035
9001,0034
4003,0029
4007,0047
9000,0036
4003,0030
9000,0037
9001,0037
9002,0044
9003,0037
9004,0037
9009,0030
8001,0021
4003,0031
4004,0043
4007,0050
4320,0064
4B15,0054
4B23,0054
4B29,0064
4B3F,0038
9000,0038
9001,0038
9002,0045
9003,0038
9004,0038
9009,0031
8001,0022
4003,0032
4004,0044
4007,0051
4320,0065
4B15,0055
4B23,0055
4B29,0065
4B3F,0039
